
x:13, y:8, z:14 grains: []

x:14, y:8, z:14 grains: []

x:15, y:8, z:14 grains: []

x:16, y:8, z:14 grains: []

x:17, y:8, z:14 grains: []

x:18, y:8, z:14 grains: []

x:19, y:8, z:14 grains: []

x:20, y:8, z:14 grains: []

x:0, y:9, z:14 grains: []

x:1, y:9, z:14 grains: []

x:2, y:9, z:14 grains: []

x:3, y:9, z:14 grains: []

x:4, y:9, z:14 grains: []

x:5, y:9, z:14 grains: []

x:6, y:9, z:14 grains: []

x:7, y:9, z:14 grains: []

x:8, y:9, z:14 grains: []

x:9, y:9, z:14 grains: []

x:10, y:9, z:14 grains: []

x:11, y:9, z:14 grains: []

x:12, y:9, z:14 grains: []

x:13, y:9, z:14 grains: []

x:14, y:9, z:14 grains: []

x:15, y:9, z:14 grains: []

x:16, y:9, z:14 grains: []

x:17, y:9, z:14 grains: []

x:18, y:9, z:14 grains: []

x:19, y:9, z:14 grains: []

x:20, y:9, z:14 grains: []

x:0, y:10, z:14 grains: []

x:1, y:10, z:14 grains: []

x:2, y:10, z:14 grains: []

x:3, y:10, z:14 grains: []

x:4, y:10, z:14 grains: []

x:5, y:10, z:14 grains: []

x:6, y:10, z:14 grains: []

x:7, y:10, z:14 grains: []

x:8, y:10, z:14 grains: []

x:9, y:10, z:14 grains: []

x:10, y:10, z:14 grains: []

x:11, y:10, z:14 grains: []

x:12, y:10, z:14 grains: []

x:13, y:10, z:14 grains: []

x:14, y:10, z:14 grains: []

x:15, y:10, z:14 grains: []

x:16, y:10, z:14 grains: []

x:17, y:10, z:14 grains: []

x:18, y:10, z:14 grains: []

x:19, y:10, z:14 grains: []

x:20, y:10, z:14 grains: []

x:0, y:11, z:14 grains: []

x:1, y:11, z:14 grains: []

x:2, y:11, z:14 grains: []

x:3, y:11, z:14 grains: []

x:4, y:11, z:14 grains: []

x:5, y:11, z:14 grains: []

x:6, y:11, z:14 grains: []

x:7, y:11, z:14 grains: []

x:8, y:11, z:14 grains: []

x:9, y:11, z:14 grains: []

x:10, y:11, z:14 grains: []

x:11, y:11, z:14 grains: []

x:12, y:11, z:14 grains: []

x:13, y:11, z:14 grains: []

x:14, y:11, z:14 grains: []

x:15, y:11, z:14 grains: []

x:16, y:11, z:14 grains: []

x:17, y:11, z:14 grains: []

