Avalanche Grain Count,  Number Avalanches
1, 76947
2, 5443
3, 2998
4, 1792
5, 1410
6, 1004
7, 878
8, 703
9, 607
10, 512
11, 482
12, 429
13, 410
14, 372
15, 318
16, 300
17, 297
18, 276
19, 252
20, 234
21, 230
22, 208
23, 215
24, 182
25, 185
26, 154
27, 168
28, 161
29, 130
30, 146
31, 121
32, 100
33, 102
34, 76
35, 113
36, 108
37, 88
38, 90
39, 83
40, 66
41, 64
42, 73
43, 77
44, 55
45, 68
46, 73
47, 52
48, 51
49, 51
50, 74
51, 51
52, 35
53, 44
54, 35
55, 27
56, 38
57, 34
58, 34
59, 37
60, 29
61, 35
62, 25
63, 25
64, 29
65, 19
66, 26
67, 13
68, 11
69, 22
70, 18
71, 13
72, 13
73, 15
74, 15
75, 12
76, 12
77, 13
78, 17
79, 19
80, 15
81, 11
82, 11
83, 12
84, 11
85, 8
86, 8
87, 8
88, 4
89, 8
90, 8
91, 2
92, 3
93, 11
94, 3
95, 6
96, 4
97, 4
98, 3
99, 5
100, 4
101, 3
102, 5
103, 3
104, 4
105, 3
106, 3
107, 6
108, 4
109, 3
110, 4
111, 1
112, 8
113, 4
114, 2
115, 1
117, 1
118, 3
119, 2
120, 5
121, 1
122, 1
123, 1
124, 2
125, 3
126, 3
128, 1
129, 1
130, 1
132, 1
133, 2
134, 2
135, 1
136, 1
137, 1
138, 1
139, 1
140, 2
141, 2
143, 1
144, 1
145, 1
146, 1
160, 1
162, 1
163, 1
164, 1
165, 1
172, 2
176, 1
187, 1
209, 1
