Avalanche Magnitude, Number Avalanches
5, 9265
6, 10586
7, 15804
8, 15721
9, 10600
10, 6424
11, 3381
12, 2197
13, 1149
14, 967
15, 205
16, 398
17, 70
18, 722
19, 52
20, 847
21, 51
22, 827
23, 43
24, 734
25, 24
26, 599
27, 88
28, 475
29, 18
30, 471
31, 23
32, 125
33, 248
34, 77
35, 4
36, 439
37, 9
38, 40
39, 363
40, 46
41, 7
42, 423
43, 3
44, 60
45, 265
46, 41
47, 3
48, 389
49, 1
50, 17
51, 166
52, 130
53, 1
54, 109
55, 3
56, 172
57, 64
58, 17
60, 222
62, 16
63, 39
64, 205
65, 28
66, 47
68, 178
69, 32
70, 43
72, 147
74, 15
75, 80
76, 135
78, 36
80, 173
81, 25
82, 11
84, 96
85, 110
86, 8
87, 23
88, 58
90, 159
92, 35
93, 24
94, 2
95, 102
96, 75
98, 3
99, 13
100, 124
102, 55
104, 29
105, 97
106, 2
108, 83
110, 57
111, 15
112, 26
114, 80
115, 51
116, 16
117, 8
119, 5
120, 152
123, 13
124, 16
125, 29
126, 78
128, 16
129, 7
130, 21
132, 82
133, 22
135, 32
136, 20
138, 66
140, 64
141, 7
144, 57
145, 23
147, 35
148, 10
150, 78
152, 26
153, 7
154, 37
155, 20
156, 40
159, 4
160, 34
161, 49
162, 19
164, 10
165, 11
168, 88
170, 17
171, 2
172, 8
174, 26
175, 61
176, 19
177, 1
180, 47
182, 31
184, 29
185, 12
186, 14
188, 7
189, 52
190, 13
192, 46
195, 12
196, 32
198, 27
200, 62
202, 1
203, 32
204, 16
205, 17
207, 7
208, 35
210, 44
212, 7
213, 1
215, 7
216, 57
217, 21
220, 20
222, 13
224, 41
225, 33
228, 20
230, 11
231, 17
232, 27
234, 29
235, 11
236, 5
238, 14
240, 49
243, 20
244, 2
245, 19
246, 12
248, 18
250, 8
252, 46
255, 5
256, 21
258, 10
259, 13
260, 21
261, 20
264, 31
265, 5
266, 7
268, 2
270, 51
272, 18
273, 17
275, 8
276, 14
279, 22
280, 44
282, 7
284, 1
285, 8
286, 2
287, 9
288, 28
290, 15
294, 22
295, 4
296, 13
297, 21
300, 21
301, 13
304, 10
305, 4
306, 22
308, 22
310, 19
312, 24
315, 22
316, 4
318, 7
319, 15
320, 29
322, 8
324, 30
325, 4
328, 17
329, 10
330, 29
332, 3
333, 12
335, 3
336, 19
340, 15
341, 9
342, 18
343, 8
344, 8
345, 3
348, 8
350, 14
351, 12
352, 26
354, 9
355, 3
357, 11
360, 34
363, 16
364, 5
365, 3
366, 5
368, 5
369, 8
370, 13
371, 10
372, 8
374, 6
375, 3
376, 5
377, 2
378, 28
380, 16
384, 13
385, 19
387, 6
390, 15
392, 17
395, 4
396, 25
399, 6
400, 14
402, 1
403, 3
405, 5
406, 5
407, 9
408, 18
410, 6
413, 3
414, 13
415, 2
416, 14
418, 9
420, 25
423, 11
424, 5
425, 1
426, 2
427, 6
429, 6
430, 6
432, 32
434, 7
435, 1
438, 3
440, 20
441, 10
442, 3
444, 11
448, 16
450, 33
451, 7
455, 7
456, 19
459, 6
460, 8
462, 14
464, 4
468, 26
469, 6
470, 5
472, 5
473, 5
474, 1
476, 6
477, 6
480, 27
481, 8
483, 4
484, 4
486, 5
488, 9
490, 17
492, 14
494, 6
495, 17
496, 2
497, 6
498, 3
500, 4
504, 28
505, 1
506, 8
507, 4
508, 1
510, 6
511, 3
512, 5
513, 5
515, 1
516, 6
517, 4
518, 6
520, 18
522, 6
525, 7
528, 13
530, 7
531, 2
532, 8
533, 3
534, 3
536, 6
539, 10
540, 21
544, 5
546, 23
549, 4
550, 15
552, 16
553, 3
555, 4
558, 3
559, 6
560, 22
561, 9
564, 5
567, 9
568, 5
570, 7
572, 16
574, 8
576, 20
580, 6
581, 6
582, 1
583, 4
584, 1
585, 24
588, 6
590, 4
592, 1
594, 11
595, 2
598, 1
600, 20
602, 6
603, 1
605, 4
606, 2
608, 1
609, 4
610, 5
611, 4
612, 13
615, 1
616, 10
620, 7
621, 5
623, 2
624, 16
627, 4
630, 16
632, 6
636, 7
637, 4
638, 6
639, 3
640, 10
644, 6
645, 3
646, 1
648, 13
649, 9
650, 12
651, 1
656, 6
657, 5
658, 6
660, 24
663, 2
664, 3
665, 1
666, 5
670, 2
671, 6
672, 20
675, 7
676, 5
680, 15
682, 3
684, 10
686, 5
688, 4
689, 5
690, 7
693, 16
696, 8
697, 2
700, 7
702, 16
704, 9
705, 2
707, 1
708, 9
710, 3
711, 4
712, 5
714, 6
715, 10
720, 15
721, 2
726, 5
728, 17
729, 2
730, 1
731, 1
732, 3
735, 6
736, 6
737, 4
738, 5
740, 2
741, 8
742, 7
744, 6
747, 3
748, 3
749, 1
750, 7
752, 9
754, 2
756, 12
759, 6
760, 7
763, 2
765, 14
767, 2
768, 6
770, 15
774, 4
776, 1
780, 24
781, 3
783, 2
784, 7
790, 1
792, 17
793, 4
795, 2
798, 7
799, 1
800, 7
801, 2
803, 2
804, 8
805, 1
806, 6
808, 1
810, 9
812, 3
814, 4
816, 9
819, 7
820, 8
825, 8
826, 4
828, 13
830, 3
832, 4
833, 6
836, 4
837, 1
840, 19
845, 5
846, 3
847, 2
848, 5
850, 6
852, 4
854, 6
855, 7
856, 2
858, 14
860, 5
864, 10
867, 4
868, 3
869, 6
870, 9
871, 7
872, 1
873, 2
876, 4
880, 16
882, 3
884, 10
885, 2
888, 8
890, 3
891, 4
893, 1
896, 6
897, 7
900, 17
901, 3
902, 6
904, 1
909, 1
910, 12
912, 5
913, 4
915, 6
918, 10
920, 3
923, 7
924, 10
927, 1
928, 3
930, 6
931, 3
935, 10
936, 12
938, 4
940, 7
944, 3
945, 5
946, 6
948, 5
949, 6
952, 7
957, 2
960, 16
962, 8
963, 1
966, 3
968, 8
969, 4
970, 1
972, 4
975, 7
976, 4
979, 4
980, 8
981, 2
984, 5
986, 2
987, 1
988, 2
990, 8
992, 2
994, 3
996, 4
999, 1
1000, 5
1001, 4
1003, 3
1005, 4
1007, 1
1008, 11
1010, 1
1012, 4
1014, 5
1017, 1
1020, 15
1022, 4
1023, 2
1024, 5
1026, 4
1027, 4
1032, 5
1034, 2
1035, 2
1036, 7
1037, 1
1040, 4
1044, 7
1045, 7
1050, 5
1053, 4
1054, 4
1056, 8
1060, 4
1062, 1
1064, 10
1065, 3
1066, 8
1067, 2
1068, 3
1070, 1
1071, 4
1072, 4
1078, 9
1079, 2
1080, 13
1083, 3
1088, 3
1089, 3
1092, 12
1095, 6
1098, 2
1100, 2
1102, 2
1104, 8
1105, 4
1106, 2
1107, 1
1110, 9
1113, 1
1116, 3
1118, 2
1120, 10
1121, 1
1122, 8
1125, 2
1128, 3
1130, 2
1131, 3
1133, 2
1134, 10
1136, 1
1139, 3
1140, 6
1143, 1
1144, 6
1148, 4
1152, 12
1155, 5
1156, 1
1157, 1
1159, 2
1160, 4
1161, 1
1162, 6
1164, 2
1166, 1
1168, 4
1170, 8
1173, 5
1176, 6
1177, 1
1178, 1
1179, 1
1180, 3
1183, 5
1184, 2
1185, 1
1188, 6
1190, 9
1196, 3
1197, 2
1199, 5
1200, 11
1204, 2
1206, 1
1207, 3
1209, 5
1210, 4
1212, 4
1215, 3
1216, 8
1218, 4
1220, 4
1221, 2
1222, 1
1224, 4
1230, 7
1232, 17
1235, 3
1236, 5
1239, 2
1240, 2
1241, 6
1242, 1
1243, 1
1246, 5
1248, 6
1250, 1
1254, 6
1258, 4
1260, 16
1261, 3
