Avalanche Grain Count,  Number Avalanches
1, 72736
2, 8514
3, 4715
4, 2477
5, 1503
6, 1158
7, 786
8, 697
9, 589
10, 493
11, 424
12, 372
13, 332
14, 293
15, 307
16, 238
17, 226
18, 229
19, 228
20, 170
21, 176
22, 141
23, 144
24, 134
25, 147
26, 126
27, 117
28, 140
29, 135
30, 109
31, 114
32, 89
33, 91
34, 96
35, 79
36, 83
37, 56
38, 57
39, 50
40, 56
41, 53
42, 63
43, 57
44, 42
45, 60
46, 43
47, 36
48, 50
49, 38
50, 23
51, 30
52, 39
53, 33
54, 28
55, 26
56, 35
57, 26
58, 24
59, 25
60, 24
61, 26
62, 26
63, 35
64, 31
65, 21
66, 20
67, 21
68, 13
69, 17
70, 18
71, 17
72, 16
73, 17
74, 15
75, 17
76, 11
77, 16
78, 17
79, 5
80, 9
81, 7
82, 12
83, 8
84, 14
85, 5
86, 13
87, 6
88, 5
89, 6
90, 13
91, 6
92, 4
93, 6
94, 4
95, 2
96, 6
97, 7
98, 6
99, 4
100, 5
101, 3
102, 5
103, 8
104, 8
105, 5
106, 5
107, 5
108, 1
109, 3
110, 4
111, 2
112, 3
113, 2
114, 2
115, 3
116, 7
117, 1
119, 4
120, 4
121, 2
123, 2
124, 1
125, 2
127, 3
128, 2
130, 1
133, 2
136, 2
140, 1
142, 2
144, 1
145, 1
149, 1
162, 1
163, 1
167, 2
169, 1
170, 1
172, 1
174, 1
176, 1
177, 1
178, 1
195, 1
230, 1
