Avalanche Grain Count,  Number Avalanches
1, 73328
2, 8046
3, 4086
4, 2275
5, 1465
6, 1118
7, 904
8, 681
9, 582
10, 541
11, 447
12, 445
13, 379
14, 359
15, 306
16, 284
17, 288
18, 242
19, 228
20, 205
21, 206
22, 191
23, 183
24, 169
25, 151
26, 145
27, 135
28, 131
29, 121
30, 110
31, 97
32, 117
33, 113
34, 89
35, 104
36, 82
37, 77
38, 88
39, 67
40, 58
41, 66
42, 67
43, 55
44, 57
45, 47
46, 48
47, 48
48, 34
49, 36
50, 58
51, 33
52, 36
53, 33
54, 28
55, 25
56, 35
57, 28
58, 27
59, 23
60, 26
61, 28
62, 26
63, 22
64, 21
65, 21
66, 19
67, 19
68, 9
69, 15
70, 16
71, 13
72, 14
73, 23
74, 12
75, 6
76, 10
77, 10
78, 9
79, 15
80, 14
81, 16
82, 10
83, 7
84, 5
85, 11
86, 10
87, 12
88, 14
89, 6
90, 3
91, 6
92, 4
93, 1
94, 3
95, 6
96, 3
97, 5
98, 4
99, 4
100, 3
101, 4
102, 1
103, 1
104, 1
105, 1
106, 4
107, 3
108, 5
109, 3
110, 1
111, 2
112, 1
113, 3
114, 2
115, 5
116, 5
117, 3
118, 2
119, 1
120, 2
121, 1
123, 1
124, 5
125, 1
128, 1
130, 2
131, 2
132, 2
136, 2
139, 2
142, 2
143, 1
144, 1
145, 1
148, 1
149, 1
150, 1
151, 1
156, 2
157, 1
159, 1
161, 1
163, 1
164, 1
171, 1
172, 1
174, 2
181, 1
186, 1
203, 1
