Avalanche Magnitude, Number Avalanches
5, 5836
6, 5095
7, 15398
8, 11400
9, 11482
10, 7165
11, 5719
12, 4085
13, 2412
14, 2677
15, 186
16, 454
17, 185
18, 957
19, 126
20, 1352
21, 119
22, 1383
23, 100
24, 1170
25, 72
26, 903
27, 98
28, 604
29, 54
30, 635
31, 31
32, 170
33, 387
34, 107
35, 22
36, 576
37, 16
38, 92
39, 550
40, 115
41, 7
42, 527
43, 5
44, 137
45, 371
46, 75
47, 7
48, 471
49, 6
50, 68
51, 167
52, 236
53, 2
54, 150
55, 3
56, 277
57, 69
58, 44
59, 2
60, 344
62, 40
63, 53
64, 263
65, 17
66, 75
67, 1
68, 235
69, 31
70, 68
71, 2
72, 196
74, 18
75, 101
76, 104
78, 60
80, 162
81, 45
82, 16
84, 103
85, 119
86, 27
87, 37
88, 62
90, 176
92, 29
93, 34
94, 12
95, 125
96, 91
98, 12
99, 31
100, 111
102, 93
104, 29
105, 88
106, 6
108, 108
110, 57
111, 31
112, 42
114, 105
115, 26
116, 31
117, 20
118, 3
119, 7
120, 157
122, 3
123, 20
124, 24
125, 22
126, 103
128, 20
129, 16
130, 15
132, 98
133, 34
134, 4
135, 34
136, 23
138, 67
140, 74
141, 20
142, 1
144, 70
145, 24
146, 1
147, 60
148, 15
150, 46
152, 18
153, 15
154, 56
155, 16
156, 51
158, 2
159, 13
160, 47
161, 52
162, 21
164, 16
165, 31
168, 73
170, 15
171, 6
172, 11
174, 21
175, 51
176, 31
177, 8
180, 66
182, 23
183, 12
184, 35
185, 11
186, 16
188, 17
189, 35
190, 9
192, 51
194, 1
195, 19
196, 23
198, 29
200, 56
201, 3
203, 17
204, 36
205, 16
207, 8
208, 34
210, 41
212, 7
213, 2
215, 13
216, 60
217, 9
220, 25
222, 18
224, 32
225, 25
228, 24
230, 16
231, 10
232, 14
234, 35
235, 14
236, 8
238, 13
240, 48
243, 21
244, 4
245, 32
246, 20
248, 23
249, 2
250, 21
252, 47
253, 1
255, 14
256, 17
258, 14
259, 7
260, 21
261, 20
264, 26
265, 11
266, 12
267, 1
268, 6
270, 53
272, 10
273, 8
